mode,setting,seed,round,accuracy,f1_macro,f1_weighted
dirichlet_03,$\alpha=0.3$,3407,4,0.7722278716277334,0.4306482209316044,0.7380247271115353
dirichlet_03,$\alpha=0.3$,3407,5,0.790199170108678,0.44806060079842713,0.7563392046364369
dirichlet_03,$\alpha=0.3$,3407,6,0.7943143494265219,0.4577151865829948,0.7648123962585396
dirichlet_03,$\alpha=0.3$,3407,7,0.7960686802671344,0.46500581129534146,0.7683127253304347
dirichlet_03,$\alpha=0.3$,3407,8,0.7955721356085838,0.4751824950461897,0.7693659604814507
dirichlet_03,$\alpha=0.3$,3407,9,0.7966428249058802,0.4822619250306339,0.7730174610549246
dirichlet_03,$\alpha=0.3$,3407,10,0.7947751885727126,0.4885203090708287,0.7765765299904223
dirichlet_03,$\alpha=0.3$,3407,11,0.7959891759929465,0.49142989902040146,0.7777372895273521
dirichlet_03,$\alpha=0.3$,3407,12,0.7959382361286464,0.4931072524974115,0.7774303014167356
dirichlet_03,$\alpha=0.3$,3407,13,0.7946033260398874,0.5055509557815001,0.7803559499279795
dirichlet_03,$\alpha=0.3$,3407,14,0.7914045882059456,0.5105930928119526,0.779356011594119
dirichlet_03,$\alpha=0.3$,3407,15,0.7942534120187611,0.5174677929350096,0.7790418435032443
dirichlet_03,$\alpha=0.3$,3407,16,0.7961853182741765,0.5189210557986064,0.7787190543318705
dirichlet_03,$\alpha=0.3$,3407,17,0.7963938384663578,0.5171990072139294,0.7756366256710986
dirichlet_03,$\alpha=0.3$,3407,18,0.7974335829862758,0.5190529309169329,0.776498363119698
dirichlet_03,$\alpha=0.3$,3407,19,0.7966137844224943,0.5178128376659592,0.7743855986075526
dirichlet_03,$\alpha=0.3$,3407,20,0.7966004543645466,0.5227988285054793,0.7763025328768007
dirichlet_01,$\alpha=0.1$,123,1,0.6212544917534548,0.17372690169007957,0.5070484959827853
dirichlet_01,$\alpha=0.1$,123,2,0.7653038586709171,0.3364173549204618,0.7102574628366651
dirichlet_01,$\alpha=0.1$,123,3,0.760460762974431,0.3510544322657033,0.7292648113237632
dirichlet_01,$\alpha=0.1$,123,4,0.7437720064974511,0.3519017456793708,0.7209912948033916
dirichlet_01,$\alpha=0.1$,123,5,0.7573029674613285,0.3569849458845492,0.7279639285378388
dirichlet_01,$\alpha=0.1$,123,6,0.7558271396171227,0.3592353729410128,0.7293648905415933
