mode,setting,round,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
dirichlet_03,$\alpha=0.3$,12,0.7973672500788694,0.0022653152057837763,0.4950132980444572,0.008014530770869369,0.7722760878594251,0.004667391999509185
dirichlet_03,$\alpha=0.3$,13,0.796172781672059,0.0020207561606087553,0.502777491775419,0.011129043056995993,0.7722930465211669,0.00840657920468466
dirichlet_03,$\alpha=0.3$,14,0.7958254067095895,0.00392068918158094,0.509883125165429,0.009500390577465628,0.7726028038890455,0.009005811095783736
dirichlet_03,$\alpha=0.3$,15,0.7969779806485645,0.0024050905657904704,0.5156828232819348,0.008585823863008315,0.7730275927070164,0.008881265862079974
dirichlet_03,$\alpha=0.3$,16,0.7977531869946878,0.0016526659780432024,0.5160416907779805,0.006029386389956323,0.769371061313619,0.010370782070909473
dirichlet_03,$\alpha=0.3$,17,0.7982359255217925,0.001670501564608234,0.5199531832192477,0.00736326830513662,0.7719540537351394,0.009417556404263549
dirichlet_03,$\alpha=0.3$,18,0.7988979850665264,0.0015399750273131392,0.5208684137567842,0.005125464286656335,0.7706054683952193,0.009210807070724775
dirichlet_03,$\alpha=0.3$,19,0.7977427133777288,0.0024100110723626715,0.5207585986352936,0.008272597378331767,0.7683079279462796,0.012995473861275917
dirichlet_03,$\alpha=0.3$,20,0.797797937903512,0.002987466516741652,0.5233682625730609,0.008433924071718517,0.769191424196282,0.015224951005561696
iid,IID,1,0.7949168997839896,0.00429856632751606,0.4999178197117515,0.008400021638787477,0.7495580010983782,0.011463979461669787
iid,IID,2,0.8089302818926397,0.000557411321610194,0.5554670484279937,0.003635774295033023,0.7792866623303242,0.00021219319163529572
iid,IID,3,0.8143222903324707,0.00041461492135032454,0.5798861912862615,0.001704012172956227,0.7901960610366942,0.0005863213175249009
iid,IID,4,0.8170086143912575,0.00042836254572559487,0.5912022922300771,0.0003828691106127202,0.795410521999862,0.000620723443934445
iid,IID,5,0.8188737116657685,0.0005671576762620781,0.59646636909452,0.0007939870141473644,0.7989909543551263,0.0012697420594671278
iid,IID,6,0.820348587362978,0.0005110081504030498,0.6010490108348492,0.000826262391239515,0.8021403679981004,0.0014119610888066714
iid,IID,7,0.8217607800496006,0.0005479430862704036,0.6057420896061897,0.0005751669967541647,0.8047926310280876,0.0012740404677237913
iid,IID,8,0.8229535028535846,0.0004098522800701257,0.608602664472302,0.0006815006352252151,0.8064623243530179,0.0009845758017997574
